xq2_bin,ybin,z_bin,pt2_bin,phi_bin,phi_center_deg,content,error
0,1,1,1,1,22.5,0,0
0,1,1,1,2,67.5,0,0
0,1,1,1,3,112.5,0,0
0,1,1,1,4,157.5,0,0
0,1,1,1,5,202.5,0,0
0,1,1,1,6,247.5,0,0
0,1,1,1,7,292.5,0,0
0,1,1,1,8,337.5,0,0
0,1,1,2,1,22.5,0,0
0,1,1,2,2,67.5,0,0
0,1,1,2,3,112.5,0,0
0,1,1,2,4,157.5,0,0
0,1,1,2,5,202.5,0,0
0,1,1,2,6,247.5,0,0
0,1,1,2,7,292.5,0,0
0,1,1,2,8,337.5,0,0
0,1,1,3,1,22.5,0,0
0,1,1,3,2,67.5,0,0
0,1,1,3,3,112.5,0,0
0,1,1,3,4,157.5,0,0
0,1,1,3,5,202.5,0,0
0,1,1,3,6,247.5,0,0
0,1,1,3,7,292.5,0,0
0,1,1,3,8,337.5,0,0
0,1,1,4,1,22.5,0,0
0,1,1,4,2,67.5,0,0
0,1,1,4,3,112.5,0,0
0,1,1,4,4,157.5,0,0
0,1,1,4,5,202.5,0,0
0,1,1,4,6,247.5,0,0
0,1,1,4,7,292.5,0,0
0,1,1,4,8,337.5,0,0
0,1,1,5,1,22.5,0,0
0,1,1,5,2,67.5,0,0
0,1,1,5,3,112.5,0,0
0,1,1,5,4,157.5,0,0
0,1,1,5,5,202.5,0,0
0,1,1,5,6,247.5,0,0
0,1,1,5,7,292.5,0,0
0,1,1,5,8,337.5,0,0
0,1,1,6,1,22.5,0,0
0,1,1,6,2,67.5,0,0
0,1,1,6,3,112.5,0,0
0,1,1,6,4,157.5,0,0
0,1,1,6,5,202.5,0,0
0,1,1,6,6,247.5,0,0
0,1,1,6,7,292.5,0,0
0,1,1,6,8,337.5,0,0
0,1,1,7,1,22.5,0,0
0,1,1,7,2,67.5,0,0
0,1,1,7,3,112.5,0,0
0,1,1,7,4,157.5,0,0
0,1,1,7,5,202.5,0,0
0,1,1,7,6,247.5,0,0
0,1,1,7,7,292.5,0,0
0,1,1,7,8,337.5,0,0
0,1,1,8,1,22.5,0,0
0,1,1,8,2,67.5,0,0
0,1,1,8,3,112.5,0,0
0,1,1,8,4,157.5,0,0
0,1,1,8,5,202.5,0,0
0,1,1,8,6,247.5,0,0
0,1,1,8,7,292.5,0,0
0,1,1,8,8,337.5,0,0
0,1,1,9,1,22.5,0,0
0,1,1,9,2,67.5,0,0
0,1,1,9,3,112.5,0,0
0,1,1,9,4,157.5,0,0
0,1,1,9,5,202.5,0,0
0,1,1,9,6,247.5,0,0
0,1,1,9,7,292.5,0,0
0,1,1,9,8,337.5,0,0
0,1,1,10,1,22.5,0,0
0,1,1,10,2,67.5,0,0
0,1,1,10,3,112.5,0,0
0,1,1,10,4,157.5,0,0
0,1,1,10,5,202.5,0,0
0,1,1,10,6,247.5,0,0
0,1,1,10,7,292.5,0,0
0,1,1,10,8,337.5,0,0
0,1,1,11,1,22.5,0,0
0,1,1,11,2,67.5,0,0
0,1,1,11,3,112.5,0,0
0,1,1,11,4,157.5,0,0
0,1,1,11,5,202.5,0,0
0,1,1,11,6,247.5,0,0
0,1,1,11,7,292.5,0,0
0,1,1,11,8,337.5,0,0
0,1,2,1,1,22.5,0,0
0,1,2,1,2,67.5,0,0
0,1,2,1,3,112.5,0,0
0,1,2,1,4,157.5,0,0
0,1,2,1,5,202.5,0,0
0,1,2,1,6,247.5,0,0
0,1,2,1,7,292.5,0,0
0,1,2,1,8,337.5,0,0
0,1,2,2,1,22.5,0,0
0,1,2,2,2,67.5,0,0
0,1,2,2,3,112.5,0,0
0,1,2,2,4,157.5,0,0
0,1,2,2,5,202.5,0,0
0,1,2,2,6,247.5,0,0
0,1,2,2,7,292.5,0,0
0,1,2,2,8,337.5,0,0
0,1,2,3,1,22.5,0,0
0,1,2,3,2,67.5,0,0
0,1,2,3,3,112.5,0,0
0,1,2,3,4,157.5,0,0
0,1,2,3,5,202.5,0,0
0,1,2,3,6,247.5,0,0
0,1,2,3,7,292.5,0,0
0,1,2,3,8,337.5,0,0
0,1,2,4,1,22.5,0,0
0,1,2,4,2,67.5,0,0
0,1,2,4,3,112.5,0,0
0,1,2,4,4,157.5,0,0
0,1,2,4,5,202.5,0,0
0,1,2,4,6,247.5,0,0
0,1,2,4,7,292.5,0,0
0,1,2,4,8,337.5,0,0
0,1,2,5,1,22.5,0,0
0,1,2,5,2,67.5,0,0
0,1,2,5,3,112.5,0,0
0,1,2,5,4,157.5,0,0
0,1,2,5,5,202.5,0,0
0,1,2,5,6,247.5,0,0
0,1,2,5,7,292.5,0,0
0,1,2,5,8,337.5,0,0
0,1,2,6,1,22.5,0,0
0,1,2,6,2,67.5,0,0
0,1,2,6,3,112.5,0,0
0,1,2,6,4,157.5,0,0
0,1,2,6,5,202.5,0,0
0,1,2,6,6,247.5,0,0
0,1,2,6,7,292.5,0,0
0,1,2,6,8,337.5,0,0
0,1,2,7,1,22.5,0,0
0,1,2,7,2,67.5,0,0
0,1,2,7,3,112.5,0,0
0,1,2,7,4,157.5,0,0
0,1,2,7,5,202.5,0,0
0,1,2,7,6,247.5,0,0
0,1,2,7,7,292.5,0,0
0,1,2,7,8,337.5,0,0
0,1,2,8,1,22.5,0,0
0,1,2,8,2,67.5,0,0
0,1,2,8,3,112.5,0,0
0,1,2,8,4,157.5,0,0
0,1,2,8,5,202.5,0,0
0,1,2,8,6,247.5,0,0
0,1,2,8,7,292.5,0,0
0,1,2,8,8,337.5,0,0
0,1,2,9,1,22.5,0,0
0,1,2,9,2,67.5,0,0
0,1,2,9,3,112.5,0,0
0,1,2,9,4,157.5,0,0
0,1,2,9,5,202.5,0,0
0,1,2,9,6,247.5,0,0
0,1,2,9,7,292.5,0,0
0,1,2,9,8,337.5,0,0
0,1,2,10,1,22.5,0,0
0,1,2,10,2,67.5,0,0
0,1,2,10,3,112.5,0,0
